"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003158","BP","GO:0003158","endothelium development","7/142","137/28891",5.39404414201286e-06,0.0126760037337302,0.0106234279891643,"Lcn2/Atoh8/Mesp1/Icam1/Stc1/Cldn5/Vegfa",7
"GO:0001667","BP","GO:0001667","ameboidal-type cell migration","11/142","471/28891",2.25817905014998e-05,0.0208279370120932,0.0174553505709413,"Fn1/Gbx2/Lcn2/Prr5l/Atoh8/Mesp1/Wnt11/Itgb4/Stc1/Vegfa/Hbegf",11
"GO:0045446","BP","GO:0045446","endothelial cell differentiation","6/142","118/28891",2.6588855760119e-05,0.0208279370120932,0.0174553505709413,"Atoh8/Mesp1/Icam1/Stc1/Cldn5/Vegfa",6
"GO:1903522","BP","GO:1903522","regulation of blood circulation","8/142","268/28891",5.67610709737857e-05,0.0243283424160221,0.0203889490080077,"Trpa1/Adm/Icam1/Kcnj5/Scn10a/Stc1/Adm2/Hbegf",8
"GO:0007422","BP","GO:0007422","peripheral nervous system development","5/142","83/28891",5.70265408437473e-05,0.0243283424160221,0.0203889490080077,"Ncmap/Egr2/Itgb4/Slc5a3/Onecut2",5
"GO:0060026","BP","GO:0060026","convergent extension","3/142","16/28891",6.21149168068648e-05,0.0243283424160221,0.0203889490080077,"Mesp1/Wnt11/Sfrp5",3
"GO:0001894","BP","GO:0001894","tissue homeostasis","8/142","283/28891",8.29819906462526e-05,0.0243759597523367,0.0204288558551498,"Flt3l/Muc2/Il10ra/Cdh23/Syk/Cartpt/Cldn5/Vegfa",8
"GO:0060249","BP","GO:0060249","anatomical structure homeostasis","8/142","283/28891",8.29819906462526e-05,0.0243759597523367,0.0204288558551498,"Flt3l/Muc2/Il10ra/Cdh23/Syk/Cartpt/Cldn5/Vegfa",8
"GO:0043116","BP","GO:0043116","negative regulation of vascular permeability","3/142","20/28891",0.000124638430372707,0.0309664883664223,0.0259522059276937,"Adm/Cldn5/Vegfa",3
"GO:0007229","BP","GO:0007229","integrin-mediated signaling pathway","5/142","101/28891",0.000144949520013041,0.0309664883664223,0.0259522059276937,"Fn1/Isg15/Itgb4/Syk/Fyb",5
"GO:0120162","BP","GO:0120162","positive regulation of cold-induced thermogenesis","5/142","101/28891",0.000144949520013041,0.0309664883664223,0.0259522059276937,"Trpm8/Lcn2/Plac8/Syk/Vegfa",5
"GO:0001704","BP","GO:0001704","formation of primary germ layer","5/142","108/28891",0.00019845666155748,0.036543206887204,0.0306259082131954,"Fn1/Atoh8/Mesp1/Wnt11/Col12a1",5
"GO:0002064","BP","GO:0002064","epithelial cell development","7/142","242/28891",0.000202153910439852,0.036543206887204,0.0306259082131954,"Slc4a5/Muc2/Icam1/Stc1/Cldn5/Vegfa/Onecut2",7
