"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048018","GO:0048018","receptor ligand activity","32/508","498/28438",5.73341049095606e-10,3.67511612470283e-07,3.19260436812185e-07,"Scg2/Nppc/Bdnf/Fbn1/Bmp2/Gdf5/Crh/Il12a/Ngf/Penk/Slit2/Areg/Tac1/Trh/Tafa4/Ntf5/Adm/Fgf3/Kitl/Nts/Tgfb3/Inhba/Cartpt/Fgf10/Gdf10/Stc1/Gdnf/Adm2/Vegfa/Adcyap1/Insl6/Apln",32
"GO:0008083","GO:0008083","growth factor activity","15/508","148/28438",7.32069357017462e-08,2.34628228924097e-05,2.03823520980125e-05,"Bdnf/Bmp2/Gdf5/Il12a/Ngf/Areg/Ntf5/Fgf3/Kitl/Tgfb3/Inhba/Fgf10/Gdf10/Gdnf/Vegfa",15
"GO:0005179","GO:0005179","hormone activity","13/508","131/28438",6.91758574801543e-07,0.000145851475056416,0.000126702406281048,"Nppc/Fbn1/Crh/Trh/Adm/Nts/Inhba/Cartpt/Stc1/Adm2/Adcyap1/Insl6/Apln",13
"GO:0005539","GO:0005539","glycosaminoglycan binding","17/508","229/28438",9.10149610336449e-07,0.000145851475056416,0.000126702406281048,"Eng/Tnfaip6/Cd44/Thbs1/Fbn1/Slit2/Acan/Tgfbr3l/Layn/Impg1/Rspo3/Fgf10/Egflam/Adamts1/Smoc2/Vegfa/Lipg",17
"GO:0019955","GO:0019955","cytokine binding","12/508","139/28438",7.94430730915986e-06,0.00101846019703429,0.000884744961378013,"Eng/Cd44/Gdf5/Il12a/Hjv/Lepr/Cd4/Zfp36/Lrrc32/Tgfbr3l/Ackr2/Tgfb3",12
"GO:0019838","GO:0019838","growth factor binding","12/508","151/28438",1.84161226922094e-05,0.00196745577428437,0.00170914542178575,"Eng/Thbs1/Epha8/Epha2/Lrrc32/Tgfbr3l/Col1a1/Tgfb3/Esm1/Epha3/Dusp1/Vegfa",12
"GO:0042562","GO:0042562","hormone binding","9/508","87/28438",2.57561934078963e-05,0.00230838463349729,0.00200531319668292,"Ghsr/Lepr/Aldh1a3/Hcrtr2/Esr2/Inhba/Mchr1/Mc4r/Galr1",9
"GO:0030594","GO:0030594","neurotransmitter receptor activity","10/508","110/28438",2.88097926177508e-05,0.00230838463349729,0.00200531319668292,"Gabrg1/Chrm2/Hrh1/Drd4/Htr1b/Glra1/Chrne/Htr2a/Gabre/Htr2c",10
"GO:0005540","GO:0005540","hyaluronic acid binding","5/508","22/28438",3.65277711438023e-05,0.00260158903368637,0.0022600223315873,"Tnfaip6/Cd44/Acan/Layn/Impg1",5
"GO:0071855","GO:0071855","neuropeptide receptor binding","6/508","37/28438",4.58300645185146e-05,0.00293770713563679,0.0025520109610836,"Crh/Nmu/Tac1/Nts/Adcyap1/Apln",6
