"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name","refseq","ensembl"
"Mrpl15",2320.81496480112,-0.249571610442289,0.0859740285347966,-2.90287211958759,0.00369757588133782,0.0169822050392496,"Mrpl15","27395","mitochondrial ribosomal protein L15","NM_001177658","ENSMUSG00000033845"
"Rgs20",787.501643879497,0.343302421437527,0.0978644230265607,3.50793895085198,0.000451592668674459,0.00275543061165383,"Rgs20","58175","regulator of G-protein signaling 20","NM_001177795","ENSMUSG00000002459"
"Atp6v1h",6907.82070020483,0.1980277229167,0.0460701813061878,4.29839252423568,1.72041288349404e-05,0.000149065994536092,"Atp6v1h","108664","ATPase, H+ transporting, lysosomal V1 subunit H","NM_001310442","ENSMUSG00000033793"
"Npbwr1",10.5951112177451,1.63040181483609,0.430648238917373,3.78592472346999,0.000153138030949337,0.00106786807177934,"Npbwr1","226304","neuropeptides B/W receptor 1","NM_010342","ENSMUSG00000033774"
"St18",105.517833279632,2.30405764888316,0.314828977415471,7.31844211990232,2.50866180056986e-13,7.67719834961959e-12,"St18","240690","suppression of tumorigenicity 18","NM_001244692","ENSMUSG00000033740"
"Vxn",12921.5628083638,0.251862949285999,0.0843976271946735,2.98424206530174,0.00284281772479112,0.0136029941305897,"Vxn","76982","vexin","NM_178399","ENSMUSG00000067879"
"Snhg6",348.409790358649,0.249952993951972,0.0953135209046443,2.62242955227764,0.00873053152501291,0.035070570866403,"Snhg6","73824","small nucleolar RNA host gene 6","NR_024067","ENSMUSG00000098234"
"Cspp1",419.113478388599,0.718090843421774,0.269229311794978,2.66720899977121,0.0076484092287758,0.0315241133111604,"Cspp1","211660","centrosome and spindle pole associated protein 1","NM_001368816","ENSMUSG00000056763"
"Sulf1",284.39508067833,0.255087463249946,0.118318181433931,2.15594475978646,0.0310879788359002,0.0982779477240528,"Sulf1","240725","sulfatase 1","NM_001198565","ENSMUSG00000016918"
"Tram1",1024.17602331238,0.178447544907913,0.0727228904132353,2.4538016007603,0.0141354946499348,0.0523548092535142,"Tram1","72265","translocating chain-associating membrane protein 1","NM_028173","ENSMUSG00000025935"
"Eya1",252.145099645325,0.630212643387691,0.175787547645812,3.58508126330702,0.000336973263992202,0.00213701834813094,"Eya1","14048","EYA transcriptional coactivator and phosphatase 1","NM_001252192","ENSMUSG00000025932"
"Rdh10",243.345573560465,-0.324161870493908,0.0837789785207663,-3.86925069053639,0.000109170348454248,0.000785379376476175,"Rdh10","98711","retinol dehydrogenase 10 (all-trans)","NM_133832","ENSMUSG00000025921"
"Pi15",67.1681854751829,1.27075859233757,0.400988516520738,3.16906479857222,0.00152930295760092,0.00791867887367934,"Pi15","94227","peptidase inhibitor 15","NM_053191","ENSMUSG00000067780"
"Mcm3",314.446215576126,-0.66043373984912,0.132914410136448,-4.96886484445989,6.73459886876816e-07,7.86102485874196e-06,"Mcm3","17215","minichromosome maintenance complex component 3","NM_008563","ENSMUSG00000041859"
"Col9a1",162.606448020032,1.00263618755367,0.149895850414261,6.68888554808376,2.24876513096074e-11,5.53414852159629e-10,"Col9a1","12839","collagen, type IX, alpha 1","NM_001290691","ENSMUSG00000026147"
"Adgrb3",3468.28910695287,-0.62275190237681,0.0938531858685644,-6.63538372846433,3.23659415015913e-11,7.75496430084059e-10,"Adgrb3","210933","adhesion G protein-coupled receptor B3","NM_175642","ENSMUSG00000033569"
"Ptp4a1",1845.04810215141,0.568917966173775,0.161084488688006,3.53179856612808,0.000412743630600749,0.00254556365841095,"Ptp4a1","19243","protein tyrosine phosphatase 4a1","NM_001420786","ENSMUSG00000026064"
"Khdrbs2",168.26060818118,0.519266531073346,0.13299203857308,3.90449335648017,9.44229858161455e-05,0.000687944443123472,"Khdrbs2","170771","KH domain containing, RNA binding, signal transduction associated 2","NM_133235","ENSMUSG00000026058"
"Prim2",259.052848935337,-0.261973744710864,0.0932237768323828,-2.81016017171129,0.00495168502656459,0.0218201708494648,"Prim2","19076","DNA primase, p58 subunit","NM_001420441","ENSMUSG00000026134"
"Bag2",889.903591378908,0.971995307418234,0.0820194551383826,11.8507896178814,2.13172590199553e-32,3.22838044935545e-30,"Bag2","213539","BCL2-associated athanogene 2","NM_145392","ENSMUSG00000042215"
"Zfp451",1434.96225231164,0.561553986163144,0.164841829087486,3.40662312030711,0.000657718782778768,0.00381726796988437,"Zfp451","98403","zinc finger protein 451","NM_001290699","ENSMUSG00000042197"
