"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0071345","GO:0071345","cellular response to cytokine stimulus",8,-0.771476095661292,-2.15035516896476,0.000221051399414461,0.000221051399414461,0.215001571641013,66,"tags=75%, list=2%, signal=73%","ENSMUSG00000021457/ENSMUSG00000026193/ENSMUSG00000032089/ENSMUSG00000022146/ENSMUSG00000092021/ENSMUSG00000000628"
"GO:0019637","GO:0019637","organophosphate metabolic process",5,-0.788249034127401,-1.84488591956039,0.00412173198848209,0.00412173198848209,0.677486833690205,171,"tags=60%, list=6%, signal=56%","ENSMUSG00000057457/ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0006082","GO:0006082","organic acid metabolic process",8,-0.653784362195509,-1.82230997245658,0.00697296409118342,0.00697296409118342,0.677486833690205,164,"tags=38%, list=6%, signal=35%","ENSMUSG00000020051/ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0019752","GO:0019752","carboxylic acid metabolic process",8,-0.653784362195509,-1.82230997245658,0.00697296409118342,0.00697296409118342,0.677486833690205,164,"tags=38%, list=6%, signal=35%","ENSMUSG00000020051/ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0043436","GO:0043436","oxoacid metabolic process",8,-0.653784362195509,-1.82230997245658,0.00697296409118342,0.00697296409118342,0.677486833690205,164,"tags=38%, list=6%, signal=35%","ENSMUSG00000020051/ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0034097","GO:0034097","response to cytokine",9,-0.649169342554122,-1.90456710846776,0.00829774645976563,0.00829774645976563,0.677486833690205,66,"tags=44%, list=2%, signal=44%","ENSMUSG00000032089/ENSMUSG00000022146/ENSMUSG00000092021/ENSMUSG00000000628"
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process",5,-0.764091928522687,-1.78834654931326,0.0089929709847311,0.0089929709847311,0.677486833690205,39,"tags=40%, list=1%, signal=40%","ENSMUSG00000021228/ENSMUSG00000000628"
"GO:0072594","GO:0072594","establishment of protein localization to organelle",4,-0.815059989977882,-1.72550881078677,0.0116847732593565,0.0116847732593565,0.677486833690205,227,"tags=100%, list=8%, signal=92%","ENSMUSG00000037161/ENSMUSG00000032089/ENSMUSG00000000628"
"GO:0051248","GO:0051248","negative regulation of protein metabolic process",11,0.617785175879628,1.73592674415211,0.0130042520820338,0.0130042520820338,0.677486833690205,958,"tags=91%, list=35%, signal=59%","ENSMUSG00000018822/ENSMUSG00000000126/ENSMUSG00000024486/ENSMUSG00000023951/ENSMUSG00000022876/ENSMUSG00000051998/ENSMUSG00000055177/ENSMUSG00000035692/ENSMUSG00000067780/ENSMUSG00000032715"
"GO:0048736","GO:0048736","appendage development",3,0.870920425375871,1.57360261337549,0.0132041776135178,0.0132041776135178,0.677486833690205,355,"tags=100%, list=13%, signal=87%","ENSMUSG00000026638/ENSMUSG00000020758/ENSMUSG00000000126"
"GO:0060173","GO:0060173","limb development",3,0.870920425375871,1.57360261337549,0.0132041776135178,0.0132041776135178,0.677486833690205,355,"tags=100%, list=13%, signal=87%","ENSMUSG00000026638/ENSMUSG00000020758/ENSMUSG00000000126"
